Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/05  04:00:00,0.557120790289,3.32262747612,0.0,3.03793233537,0.0,0.0842672495336,0.0842672495336,0.0842672495336,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261232099151
 01/05  05:00:00,0.564517086697,3.72460144145,0.0,3.38843255003,0.0,0.0939895493711,0.0939895493711,0.0939895493711,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313592169351
 01/05  06:00:00,0.618408625127,4.06757047853,0.0,3.49909436245,0.0,0.0970591261526,0.0970591261526,0.0970591261526,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.543282308767
 01/05  07:00:00,0.81085319604,4.42478703968,0.0,3.42375795152,0.0,0.0949694179439,0.0949694179439,0.0949694179439,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.971920121318
 01/05  08:00:00,1.08374087007,3.9624167262,0.0,2.8420863971,0.0,0.0788348051179,0.0788348051179,0.0788348051179,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08939987093
 01/05  09:00:00,1.00646715386,2.97997856821,0.0,1.89580086309,0.0,0.0525863998141,0.0525863998141,0.0525863998141,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05802778934
 01/05  10:00:00,0.858111294052,2.47962449761,0.0,1.49399308595,0.0,0.0414409125277,0.0414409125277,0.0414409125277,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.963375718716
 01/05  11:00:00,0.841647415136,1.8967151833,0.0,1.02232068421,0.0,0.0283574953913,0.0283574953913,0.0283574953913,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.851615389103
 01/05  12:00:00,0.82963433821,0.774163679114,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.751377590229
 01/05  13:00:00,0.81478839949,0.696102717779,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.673700468064
 01/05  14:00:00,0.792035894651,0.646804359388,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.62362745244
 01/05  15:00:00,0.792231246591,0.600952056647,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.576470096523
 01/05  16:00:00,0.854486111271,0.607994792481,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.582151948028
 01/05  17:00:00,1.08367515864,0.668631935033,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.638064379347
 01/05  18:00:00,1.50275717992,0.795964405475,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.758829710542
 01/05  19:00:00,1.77747819634,0.908379514664,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.868062444071
 01/05  20:00:00,1.72857297386,0.927229498516,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.88561435364
 01/05  21:00:00,1.6001276984,0.865954175672,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822908357528
 01/05  22:00:00,1.45853961769,0.797244875371,0.0,0.0099860038946,0.0,0.000276995334041,0.000276995334041,0.000276995334041,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.745218014068
 01/05  23:00:00,1.18919732874,0.929817747588,0.0,0.273318691545,0.0,0.00758141124952,0.00758141124952,0.00758141124952,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.620118081661
 01/05  24:00:00,0.931171765118,1.39108133381,0.0,0.875240729868,0.0,0.0242777392133,0.0242777392133,0.0242777392133,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.484226214155
 01/06  01:00:00,0.675275443233,1.78220646165,0.0,1.41614324119,0.0,0.039281485796,0.039281485796,0.039281485796,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339913304668
 01/06  02:00:00,0.577298474746,2.10352744475,0.0,1.80543197831,0.0,0.0500797154897,0.0500797154897,0.0500797154897,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.274018282167
 01/06  03:00:00,0.543456857194,2.39386878531,0.0,2.11389917186,0.0,0.0586360884113,0.0586360884113,0.0586360884113,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.256171584934
 01/06  04:00:00,0.537583940456,2.61838426193,0.0,2.33360618058,0.0,0.0647303997007,0.0647303997007,0.0647303997007,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261315039744
 01/06  05:00:00,0.540611364728,2.86294149146,0.0,2.52660347444,0.0,0.0700838274026,0.0700838274026,0.0700838274026,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313761294955
 01/06  06:00:00,0.592267117019,3.12567348311,0.0,2.55666259666,0.0,0.070917618045,0.070917618045,0.070917618045,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.543817079131
 01/06  07:00:00,0.782941686495,3.41976602669,0.0,2.41751557568,0.0,0.0670579083988,0.0670579083988,0.0670579083988,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.973141484169
 01/06  08:00:00,1.06183820037,3.17422653276,0.0,2.05246968514,0.0,0.0569321354211,0.0569321354211,0.0569321354211,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.09082638945
 01/06  09:00:00,0.988329691997,2.3274903259,0.0,1.24192427178,0.0,0.0344489379482,0.0344489379482,0.0344489379482,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05941613833
 01/06  10:00:00,0.828103831781,1.39906745132,0.0,0.412189177062,0.0,0.0114334502563,0.0114334502563,0.0114334502563,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.964622581314
 01/06  11:00:00,0.822729237594,1.21560654769,0.0,0.34029838492,0.0,0.00943931784919,0.00943931784919,0.00943931784919,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.85252905278
 01/06  12:00:00,0.82963433821,0.772489344339,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.749703255455
 01/06  13:00:00,0.81478839949,0.689995655221,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.667593405506
 01/06  14:00:00,0.792035894651,0.641980200458,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.61880329351
 01/06  15:00:00,0.792231246591,0.597010084405,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.57252812428
 01/06  16:00:00,0.854486111271,0.602888743241,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.577045898788
 01/06  17:00:00,1.08367515864,0.663849900786,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.6332823451
 01/06  18:00:00,1.50275717992,0.792604203175,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.755469508243
 01/06  19:00:00,1.77747819634,0.906988639658,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.866671569065
 01/06  20:00:00,1.72857297386,0.926672081038,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.885056936163
 01/06  21:00:00,1.6001276984,0.865003929148,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.821958111004
 01/06  22:00:00,1.45826262236,0.787448968344,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.745408110935
 01/06  23:00:00,1.19397965544,1.10299339887,0.0,0.445727130183,0.0,0.0123637379496,0.0123637379496,0.0123637379496,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.620885294307
 01/06  24:00:00,0.936953799383,1.59996948555,0.0,1.08368978875,0.0,0.030059773479,0.030059773479,0.030059773479,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.484665307013
 01/07  01:00:00,0.691487190117,2.14253581266,0.0,1.76360664902,0.0,0.0489195496036,0.0489195496036,0.0489195496036,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.352779247852
 01/07  02:00:00,0.594637340083,2.59310507234,0.0,2.2882234284,0.0,0.0634715567509,0.0634715567509,0.0634715567509,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.28080445966
 01/07  03:00:00,0.565031802318,3.08251824119,0.0,2.79756285009,0.0,0.0775997951074,0.0775997951074,0.0775997951074,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.261157362586
 01/07  04:00:00,0.559566301687,3.36701142085,0.0,3.07687145687,0.0,0.0853473567597,0.0853473567597,0.0853473567597,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266676922383
 01/07  05:00:00,0.567082442467,3.73192250289,0.0,3.38461834257,0.0,0.0938837495254,0.0938837495254,0.0938837495254,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.32472743826
 01/07  06:00:00,0.623755175151,4.14487684519,0.0,3.54415317598,0.0,0.0983089835768,0.0983089835768,0.0983089835768,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.575529861896
 01/07  07:00:00,0.822360093547,4.53051663762,0.0,3.45553291612,0.0,0.0958508032334,0.0958508032334,0.0958508032334,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.04587475466
 01/07  08:00:00,1.1055452609,4.07533716409,0.0,2.86526833715,0.0,0.0794778340308,0.0794778340308,0.0794778340308,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.17913836877
 01/07  09:00:00,1.04410223451,3.26084146428,0.0,2.08318686736,0.0,0.0577841795661,0.0577841795661,0.0577841795661,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.15150468113
 01/07  10:00:00,0.898512987063,2.39871637965,0.0,1.32709907806,0.0,0.0368115470726,0.0368115470726,0.0368115470726,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04936160865
 01/07  11:00:00,0.893229210634,1.99452587111,0.0,1.04631511998,0.0,0.0290230616,0.0290230616,0.0290230616,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.925431641138
 01/07  12:00:00,0.882123097729,0.835224819881,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.812438730997
 01/07  13:00:00,0.862598905581,0.745914022748,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.723511773033
 01/07  14:00:00,0.835623927166,0.689757699816,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.666580792868
 01/07  15:00:00,0.831356818766,0.640217815868,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.615735855743
 01/07  16:00:00,0.891545084126,0.646856769999,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.621013925546
 01/07  17:00:00,1.11959307789,0.716407732742,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.685840177056
 01/07  18:00:00,1.53810911013,0.855202330291,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.818067635358
 01/07  19:00:00,1.81178851188,0.985977465466,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.945660394873
 01/07  20:00:00,1.76281772805,1.0139715067,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.972356361829
 01/07  21:00:00,1.63498306873,0.948396951957,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.905351133814
 01/07  22:00:00,1.49386947983,0.857707365965,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.815666508556
 01/07  23:00:00,1.21957952005,1.06058152249,0.0,0.348628827865,0.0,0.00967039064374,0.00967039064374,0.00967039064374,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.675571720241
 01/07  24:00:00,0.949808489456,1.53760120042,0.0,0.987067074895,0.0,0.0273796182154,0.0273796182154,0.0273796182154,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.518919735745
 01/08  01:00:00,0.684142742752,1.87797484249,0.0,1.49883078105,0.0,0.0415751022382,0.0415751022382,0.0415751022382,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.352994145649
 01/08  02:00:00,0.585552126913,2.26568067028,0.0,1.96069092897,0.0,0.0543863435818,0.0543863435818,0.0543863435818,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280912557039
 01/08  03:00:00,0.551511069766,2.59515629206,0.0,2.3101247191,0.0,0.0640790625557,0.0640790625557,0.0640790625557,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.261233544443
 01/08  04:00:00,0.547595595254,2.93553822595,0.0,2.64531356988,0.0,0.0733766503264,0.0733766503264,0.0733766503264,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266761614465
 01/08  05:00:00,0.548978800528,3.0794379993,0.0,2.73196099897,0.0,0.0757801075868,0.0757801075868,0.0757801075868,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.324900278267
 01/08  06:00:00,0.599690117569,3.27784343875,0.0,2.67657986625,0.0,0.0742439259953,0.0742439259953,0.0742439259953,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.576069765186
 01/08  07:00:00,0.816067447853,4.30489252633,0.0,3.22867572148,0.0,0.0895581575394,0.0895581575394,0.0895581575394,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.047107838
 01/08  08:00:00,1.08891116748,3.47710757199,0.0,2.26558992655,0.0,0.0628437406122,0.0628437406122,0.0628437406122,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.18058718727
 01/08  09:00:00,1.04194836789,3.18461488216,0.0,2.00553747139,0.0,0.0556303129543,0.0556303129543,0.0556303129543,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.15292749498
 01/08  10:00:00,0.907971736241,2.74099933064,0.0,1.66809798497,0.0,0.0462702962504,0.0462702962504,0.0462702962504,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.05064565273
 01/08  11:00:00,0.919409757051,2.93946926016,0.0,1.9901542622,0.0,0.0552036080167,0.0552036080167,0.0552036080167,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.926535887973
 01/08  12:00:00,0.917236196808,2.102888062,0.0,1.26586805286,0.0,0.0351130990789,0.0351130990789,0.0351130990789,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.81423392025
 01/08  13:00:00,0.888784363976,1.69465648588,0.0,0.944016224748,0.0,0.026185458395,0.026185458395,0.026185458395,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.728238011416
 01/08  14:00:00,0.853619619423,1.3471811368,0.0,0.648765632062,0.0,0.0179956922573,0.0179956922573,0.0179956922573,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.67523859779
 01/08  15:00:00,0.848877102402,1.28109306288,0.0,0.631626598429,0.0,0.0175202836357,0.0175202836357,0.0175202836357,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.624984504329
 01/08  16:00:00,0.9102124344,1.32960425268,0.0,0.672979684597,0.0,0.018667350274,0.018667350274,0.018667350274,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.630781723628
 01/08  17:00:00,1.1418015595,1.52679262954,0.0,0.800641586916,0.0,0.0222084816064,0.0222084816064,0.0222084816064,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.695583486936
 01/08  18:00:00,1.57750048625,2.28216106927,0.0,1.42010491489,0.0,0.0393913761124,0.0393913761124,0.0393913761124,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.824921459449
 01/08  19:00:00,1.83094277437,1.68371756373,0.0,0.690533436256,0.0,0.0191542624919,0.0191542624919,0.0191542624919,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.952867056885
 01/08  20:00:00,1.78182478739,1.70697468386,0.0,0.685226591218,0.0,0.0190070593334,0.0190070593334,0.0190070593334,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.980132947769
 01/08  21:00:00,1.65945884409,1.83600416135,0.0,0.882380163145,0.0,0.0244757753573,0.0244757753573,0.0244757753573,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.910578180059
 01/08  22:00:00,1.52415308993,1.95152304284,0.0,1.09175935942,0.0,0.0302836101054,0.0302836101054,0.0302836101054,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.817722826011
 01/08  23:00:00,1.24817669113,2.09244796467,0.0,1.37959009932,0.0,0.0382675617229,0.0382675617229,0.0382675617229,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.676476890962
 01/08  24:00:00,0.969676812137,2.25433340731,0.0,1.70334321133,0.0,0.047247940897,0.047247940897,0.047247940897,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.519375806195
 01/09  01:00:00,0.694352737171,2.47054989448,0.0,2.10390187156,0.0,0.0583587797335,0.0583587797335,0.0583587797335,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.340498107131
 01/09  02:00:00,0.590282428622,2.57190577897,0.0,2.27351861387,0.0,0.0630636693661,0.0630636693661,0.0630636693661,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.274309980823
 01/09  03:00:00,0.551880563182,2.69775871681,0.0,2.41758356816,0.0,0.0670597943985,0.0670597943985,0.0670597943985,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.256377120136
 01/09  04:00:00,0.54249960424,2.79582903475,0.0,2.51082157612,0.0,0.0696460634841,0.0696460634841,0.0696460634841,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261544417025
 01/09  05:00:00,0.542005485005,2.91366888015,0.0,2.57686313154,0.0,0.0714779476788,0.0714779476788,0.0714779476788,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.314229026546
 01/09  06:00:00,0.591068301181,3.08393281891,0.0,2.51344389167,0.0,0.0697188022071,0.0697188022071,0.0697188022071,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.545295119922
 01/09  07:00:00,0.779646054677,3.30433027564,0.0,2.29870421634,0.0,0.0637622765809,0.0637622765809,0.0637622765809,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.976517092462
 01/09  08:00:00,1.08772323493,4.11135474474,0.0,2.98565528137,0.0,0.0828171699833,0.0828171699833,0.0828171699833,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.0947690052
 01/09  09:00:00,1.01841477602,3.41592970926,0.0,2.32652653515,0.0,0.0645340219731,0.0645340219731,0.0645340219731,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.06325325832
 01/09  10:00:00,0.877988407744,3.20091051084,0.0,2.21058614854,0.0,0.0613180262198,0.0613180262198,0.0613180262198,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.96806866936
 01/09  11:00:00,0.894023384661,3.78895927659,0.0,2.91053529067,0.0,0.080733464916,0.080733464916,0.080733464916,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.85564487593
 01/09  12:00:00,0.892150722246,3.03198437989,0.0,2.25378834133,0.0,0.0625163840364,0.0625163840364,0.0625163840364,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.755409949673
 01/09  13:00:00,0.865013545972,2.51031165272,0.0,1.81067493469,0.0,0.0502251464819,0.0502251464819,0.0502251464819,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.677234468312
 01/09  14:00:00,0.830003574177,2.02295989189,0.0,1.36877899741,0.0,0.0379676795261,0.0379676795261,0.0379676795261,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.63100398753
