,State,Locale,Load Level,File Dir
47,AZ,Show Low Muni AP,BASE,residential_load_data/BASE/USA_AZ_Show.Low.Muni.AP.723747_TMY3_BASE.csv
48,AZ,Tucson Intl AP,BASE,residential_load_data/BASE/USA_AZ_Tucson.Intl.AP.722740_TMY3_BASE.csv
49,AZ,Winslow Muni AP,BASE,residential_load_data/BASE/USA_AZ_Winslow.Muni.AP.723740_TMY3_BASE.csv
50,AZ,Yuma Intl AP,BASE,residential_load_data/BASE/USA_AZ_Yuma.Intl.AP.722800_TMY3_BASE.csv
51,AZ,Yuma MCAS,BASE,residential_load_data/BASE/USA_AZ_Yuma.MCAS.699604_TMY3_BASE.csv
52,CA,Alturas,BASE,residential_load_data/BASE/USA_CA_Alturas.725958_TMY3_BASE.csv
53,CA,Arcata AP,BASE,residential_load_data/BASE/USA_CA_Arcata.AP.725945_TMY3_BASE.csv
54,CA,Bakersfield-Meadows Field,BASE,residential_load_data/BASE/USA_CA_Bakersfield-Meadows.Field.723840_TMY3_BASE.csv
55,CA,Barstow Daggett AP,BASE,residential_load_data/BASE/USA_CA_Barstow.Daggett.AP.723815_TMY3_BASE.csv
56,CA,Beale AFB,BASE,residential_load_data/BASE/USA_CA_Beale.AFB.724837_TMY3_BASE.csv
57,CA,Bishop AP,BASE,residential_load_data/BASE/USA_CA_Bishop.AP.724800_TMY3_BASE.csv
58,CA,Blue Canyon AP,BASE,residential_load_data/BASE/USA_CA_Blue.Canyon.AP.725845_TMY3_BASE.csv
59,CA,Blythe-Riverside County AP,BASE,residential_load_data/BASE/USA_CA_Blythe-Riverside.County.AP.747188_TMY3_BASE.csv
60,CA,Burbank-Glendale-Passadena Bob Hope AP,BASE,residential_load_data/BASE/USA_CA_Burbank-Glendale-Passadena.Bob.Hope.AP.722880_TMY3_BASE.csv
61,CA,Camarillo AWOS,BASE,residential_load_data/BASE/USA_CA_Camarillo.AWOS.723926_TMY3_BASE.csv
